|latitude |longitude |zip_code|COLLISION_COUNT|
|---------|----------|--------|---------------|
|40.696034|-73.984529|11201   |587            |
|40.696033|-73.98453 |11201   |513            |
|40.861862|-73.91282 |10453   |478            |
|40.7606  |-73.964314|10022   |474            |
|40.757232|-73.989792|10036   |456            |
|40.675735|-73.896853|11207   |435            |
|40.820305|-73.89083 |10459   |428            |
|40.658577|-73.890622|11207   |418            |
|40.816864|-73.882744|10474   |405            |
|40.675735|-73.89686 |11207   |382            |
|40.696033|-73.98453 |11420   |1              |
|40.820305|-73.89083 |10001   |1              |
