|Month|hour|COLLISIONS|
|-----|----|----------|
|     |0   |8,379     |
|     |1   |3,586     |
|     |2   |2,663     |
|     |3   |2,352     |
|     |4   |2,765     |
|     |5   |3,127     |
|     |6   |4,954     |
|     |7   |7,348     |
|     |8   |12,955    |
|     |9   |12,348    |
|     |10  |11,662    |
|     |11  |12,092    |
|     |12  |12,634    |
|     |13  |13,612    |
|     |14  |15,753    |
|     |15  |14,675    |
|     |16  |16,973    |
|     |17  |16,691    |
|     |18  |14,280    |
|     |19  |11,570    |
|     |20  |9,410     |
|     |21  |7,952     |
|     |22  |7,318     |
|     |23  |5,893     |
|     |    |230,992   |
|1    |    |17,551    |
|2    |    |15,835    |
|3    |    |19,334    |
|4    |    |17,828    |
|5    |    |21,012    |
|6    |    |21,369    |
|7    |    |19,593    |
|8    |    |19,133    |
|9    |    |19,604    |
|10   |    |20,358    |
|11   |    |19,660    |
|12   |    |19,715    |
|1    |0   |592       |
|1    |1   |280       |
|1    |2   |235       |
|1    |3   |185       |
|1    |4   |253       |
|1    |5   |282       |
|1    |6   |459       |
|1    |7   |582       |
|1    |8   |1,021     |
|1    |9   |941       |
|1    |10  |894       |
|1    |11  |934       |
|1    |12  |930       |
|1    |13  |1,068     |
|1    |14  |1,198     |
|1    |15  |1,040     |
|1    |16  |1,206     |
|1    |17  |1,240     |
|1    |18  |1,193     |
|1    |19  |898       |
|1    |20  |692       |
|1    |21  |535       |
|1    |22  |496       |
|1    |23  |397       |
|2    |0   |539       |
|2    |1   |236       |
|2    |2   |156       |
|2    |3   |164       |
|2    |4   |197       |
|2    |5   |224       |
|2    |6   |364       |
|2    |7   |535       |
|2    |8   |979       |
|2    |9   |942       |
|2    |10  |839       |
|2    |11  |908       |
|2    |12  |851       |
|2    |13  |908       |
|2    |14  |1,090     |
|2    |15  |1,009     |
|2    |16  |1,108     |
|2    |17  |976       |
|2    |18  |940       |
|2    |19  |828       |
|2    |20  |692       |
|2    |21  |484       |
|2    |22  |491       |
|2    |23  |375       |
|3    |0   |648       |
|3    |1   |237       |
|3    |2   |188       |
|3    |3   |226       |
|3    |4   |231       |
|3    |5   |273       |
|3    |6   |435       |
|3    |7   |599       |
|3    |8   |1,258     |
|3    |9   |1,131     |
|3    |10  |986       |
|3    |11  |958       |
|3    |12  |1,079     |
|3    |13  |1,124     |
|3    |14  |1,354     |
|3    |15  |1,268     |
|3    |16  |1,457     |
|3    |17  |1,407     |
|3    |18  |1,102     |
|3    |19  |931       |
|3    |20  |777       |
|3    |21  |649       |
|3    |22  |558       |
|3    |23  |458       |
|4    |0   |659       |
|4    |1   |312       |
|4    |2   |213       |
|4    |3   |176       |
|4    |4   |234       |
|4    |5   |251       |
|4    |6   |333       |
|4    |7   |548       |
|4    |8   |923       |
|4    |9   |855       |
|4    |10  |901       |
|4    |11  |856       |
|4    |12  |967       |
|4    |13  |1,077     |
|4    |14  |1,260     |
|4    |15  |1,119     |
|4    |16  |1,373     |
|4    |17  |1,324     |
|4    |18  |1,152     |
|4    |19  |829       |
|4    |20  |763       |
|4    |21  |669       |
|4    |22  |574       |
|4    |23  |460       |
|5    |0   |772       |
|5    |1   |315       |
|5    |2   |220       |
|5    |3   |192       |
|5    |4   |241       |
|5    |5   |248       |
|5    |6   |417       |
|5    |7   |696       |
|5    |8   |1,210     |
|5    |9   |1,135     |
|5    |10  |1,060     |
|5    |11  |1,098     |
|5    |12  |1,164     |
|5    |13  |1,190     |
|5    |14  |1,418     |
|5    |15  |1,375     |
|5    |16  |1,632     |
|5    |17  |1,624     |
|5    |18  |1,314     |
|5    |19  |958       |
|5    |20  |767       |
|5    |21  |696       |
|5    |22  |685       |
|5    |23  |585       |
|6    |0   |801       |
|6    |1   |282       |
|6    |2   |236       |
|6    |3   |191       |
|6    |4   |219       |
|6    |5   |253       |
|6    |6   |420       |
|6    |7   |635       |
|6    |8   |1,147     |
|6    |9   |1,036     |
|6    |10  |1,026     |
|6    |11  |1,128     |
|6    |12  |1,151     |
|6    |13  |1,273     |
|6    |14  |1,514     |
|6    |15  |1,385     |
|6    |16  |1,678     |
|6    |17  |1,637     |
|6    |18  |1,374     |
|6    |19  |1,188     |
|6    |20  |812       |
|6    |21  |702       |
|6    |22  |698       |
|6    |23  |583       |
|7    |0   |734       |
|7    |1   |352       |
|7    |2   |234       |
|7    |3   |212       |
|7    |4   |227       |
|7    |5   |245       |
|7    |6   |370       |
|7    |7   |539       |
|7    |8   |923       |
|7    |9   |974       |
|7    |10  |973       |
|7    |11  |1,104     |
|7    |12  |1,111     |
|7    |13  |1,169     |
|7    |14  |1,310     |
|7    |15  |1,259     |
|7    |16  |1,418     |
|7    |17  |1,433     |
|7    |18  |1,281     |
|7    |19  |970       |
|7    |20  |746       |
|7    |21  |749       |
|7    |22  |672       |
|7    |23  |588       |
|8    |0   |760       |
|8    |1   |333       |
|8    |2   |252       |
|8    |3   |205       |
|8    |4   |203       |
|8    |5   |250       |
|8    |6   |363       |
|8    |7   |496       |
|8    |8   |922       |
|8    |9   |938       |
|8    |10  |970       |
|8    |11  |1,052     |
|8    |12  |1,045     |
|8    |13  |1,233     |
|8    |14  |1,308     |
|8    |15  |1,223     |
|8    |16  |1,414     |
|8    |17  |1,370     |
|8    |18  |1,170     |
|8    |19  |928       |
|8    |20  |778       |
|8    |21  |720       |
|8    |22  |653       |
|8    |23  |547       |
|9    |0   |712       |
|9    |1   |306       |
|9    |2   |257       |
|9    |3   |195       |
|9    |4   |223       |
|9    |5   |249       |
|9    |6   |371       |
|9    |7   |682       |
|9    |8   |1,097     |
|9    |9   |1,104     |
|9    |10  |1,024     |
|9    |11  |1,003     |
|9    |12  |1,095     |
|9    |13  |1,132     |
|9    |14  |1,249     |
|9    |15  |1,298     |
|9    |16  |1,529     |
|9    |17  |1,412     |
|9    |18  |1,056     |
|9    |19  |881       |
|9    |20  |837       |
|9    |21  |751       |
|9    |22  |648       |
|9    |23  |493       |
|10   |0   |688       |
|10   |1   |284       |
|10   |2   |225       |
|10   |3   |208       |
|10   |4   |262       |
|10   |5   |282       |
|10   |6   |511       |
|10   |7   |749       |
|10   |8   |1,239     |
|10   |9   |1,150     |
|10   |10  |1,004     |
|10   |11  |981       |
|10   |12  |1,111     |
|10   |13  |1,169     |
|10   |14  |1,403     |
|10   |15  |1,323     |
|10   |16  |1,524     |
|10   |17  |1,385     |
|10   |18  |1,111     |
|10   |19  |1,123     |
|10   |20  |861       |
|10   |21  |661       |
|10   |22  |629       |
|10   |23  |475       |
|11   |0   |752       |
|11   |1   |316       |
|11   |2   |186       |
|11   |3   |185       |
|11   |4   |231       |
|11   |5   |291       |
|11   |6   |460       |
|11   |7   |723       |
|11   |8   |1,198     |
|11   |9   |1,141     |
|11   |10  |1,011     |
|11   |11  |1,041     |
|11   |12  |1,040     |
|11   |13  |1,108     |
|11   |14  |1,311     |
|11   |15  |1,186     |
|11   |16  |1,292     |
|11   |17  |1,388     |
|11   |18  |1,232     |
|11   |19  |1,007     |
|11   |20  |832       |
|11   |21  |680       |
|11   |22  |619       |
|11   |23  |430       |
|12   |0   |722       |
|12   |1   |333       |
|12   |2   |261       |
|12   |3   |213       |
|12   |4   |244       |
|12   |5   |279       |
