|latitude |longitude |zip_code|COLLISION_COUNT|
|---------|----------|--------|---------------|
|40.820305|-73.89083 |10459   |115            |
|40.696033|-73.98453 |11201   |107            |
|40.816864|-73.882744|10474   |89             |
|40.759514|-73.99926 |10018   |86             |
|40.75898 |-73.99595 |10036   |84             |
|40.861862|-73.91282 |10453   |79             |
|40.72032 |-73.99404 |10012   |76             |
|40.760822|-73.99832 |10036   |76             |
|40.724136|-73.992615|10012   |75             |
|40.7606  |-73.96434 |10022   |70             |
|40.760822|-73.99832 |11226   |1              |
